,CENPF,SHISA2,IGFBPL1,BCAT1,LDHA,STMN2,HMGB2,TRIM59,EGR1,NFIA,NUSAP1,TOP2A,ANP32E,BAG4,KPNA2,CNTNAP2,LIX1,C3orf70,CCNG1,AXL,ANXA2,STON2,VIM,LOC150568,TGFBR1,BIRC5,ASPM,CACUL1,SOX9,SLA,FOS,SFRP1,LCLAT1,RELL1,DDAH1,CDV3,ZIC2,SLC39A10,EIF4B,CDO1,TLK1,PTTG1,SPARC,PRKCA,KNSTRN,CCNB1,MEF2C,USP31,CKS2,CCNB2,CDK1,GLT25D1,RND3,TMPO,FGF12,CD59,SLC35F1,FZD3,PIP4K2A,RRM1
Hi_NPC_1,2036,8657,1,4499,12689,101,13166,2295,0,0,4938,6039,11914,3107,4598,186,3355,0,366,1419,2293,1,2953,0,146,2654,2407,571,5815,0,0,1022,3602,2,314,323,2872,315,4377,1,3825,2371,759,0,2465,2891,3,1,3271,2308,223,1010,1,5065,1,0,5,936,1,3654
Hi_NPC_10,11335,513,255,9642,3706,0,8729,11637,0,0,5711,9440,16332,4,7403,5508,3333,0,2651,57,3078,5,5835,1,8818,4819,3966,1939,934,0,3,2994,66,0,0,71,2276,2408,2,361,14002,2229,2803,0,805,2694,0,0,4155,3259,4618,2417,0,5059,2,612,5450,1853,1096,1341
Hi_NPC_14,9337,2329,1,5940,4884,0,3903,8620,8,1,4592,9209,10145,300,11185,1514,5957,0,1101,1804,390,68,2541,0,3426,3236,5752,2,1211,0,3,2688,3,1,221,0,682,5828,1930,38,744,2762,93,324,1452,1980,1,1,2222,1915,3926,385,769,3056,0,1842,1640,1033,405,1
Hi_NPC_15,9927,6636,0,7805,10997,0,12933,15062,0,0,5964,13125,33998,620,22519,1034,3106,621,1052,604,1223,17,1251,0,1155,8335,5757,929,3680,0,3,829,2310,10,2599,2145,8,3830,4318,784,2185,6793,953,0,2567,9991,0,0,6538,4160,8183,2548,210,4711,0,1068,7831,3735,804,827
Hi_NPC_13,2405,8419,986,3632,14659,1026,3981,3456,1,0,1743,630,19303,30,1443,3359,2097,0,4010,1780,926,0,526,0,538,1124,2581,827,827,0,6,4311,130,94,3629,4396,873,6648,1873,0,4982,784,8,0,1608,790,0,3933,3199,3383,5128,3059,1,509,1,0,0,376,0,5410
Hi_NPC_12,6065,3099,212,5170,3670,146,5220,3544,0,0,3367,6872,8738,1223,6886,1242,983,450,1529,789,253,288,1056,0,647,2683,1925,429,170,0,4,196,1377,875,384,188,1334,3538,2115,145,1523,3106,8,33,732,1368,0,30,2406,1439,1222,643,0,1664,0,648,301,329,184,4
Hi_NPC_2,6563,9691,0,4341,8207,5,7450,8519,2,259,3805,3752,12629,1631,2000,5289,6740,0,3204,2173,1150,1042,882,0,3288,3383,1886,2595,65,0,261,1906,4179,552,2384,1,2629,2296,5274,344,5272,1674,3548,0,1688,2139,0,1,2313,2571,1104,2371,318,776,2,733,1936,3506,2750,1413
Hi_NPC_7,5032,3430,1099,2691,11352,0,6121,5703,86,0,3339,9298,14856,2752,7309,3985,2168,0,2015,5007,2438,1005,3107,0,6789,3258,3960,756,628,0,0,639,1,1239,12,468,1778,1408,3481,0,2771,2606,7595,0,641,3601,0,1,1580,4889,2821,1485,2,1698,0,1734,483,47,203,1190
Hi_NPC_6,3623,1226,2043,2733,4536,0,6207,2854,0,0,3271,7265,10123,2587,6351,2519,5195,0,1464,1085,3710,1511,2392,11,5783,2849,2474,2687,0,0,26,2354,1,209,426,1147,1191,3346,754,183,4410,1101,710,15,1148,4175,0,0,2137,1937,2531,2148,491,359,0,19,115,1123,446,1499
Hi_NPC_8,4640,1491,2031,8710,11418,0,8044,2271,0,0,611,873,38780,5692,1198,2103,467,1,1517,7116,279,4722,1840,0,1014,5256,816,1203,75,0,7,17,905,1,2245,3620,4588,1324,51,0,5589,2735,1127,0,6,2534,0,2997,977,2322,7,1707,4054,3580,706,209,550,2469,0,1250
Hi_NPC_5,2051,1130,2,3532,8844,67,1525,915,0,0,765,251,8653,1769,908,2099,1254,451,1184,640,1010,1506,1261,0,220,2066,641,768,576,0,0,1146,1650,2201,1,2555,1325,2999,230,52,1157,508,644,0,1,1015,48,53,740,1204,3,2339,228,971,43,37,116,1574,846,1502
Hi_NPC_3,17099,14378,0,8519,14251,5,13140,12338,81,0,9311,16354,11167,5003,24524,278,3123,477,2890,1,3089,0,1882,0,4876,6314,2964,5879,1208,0,623,5570,1,3432,65,4260,1301,10759,28,1610,12277,7221,1853,159,4236,5445,2,1,6457,3113,1547,2783,726,4125,0,2513,1758,1818,1504,60
